year_film,year_ceremony,ceremony,category,name,film,winner
2011,2012,84,ACTOR IN A LEADING ROLE,Demián Bichir,A Better Life,False
2011,2012,84,ACTOR IN A LEADING ROLE,George Clooney,The Descendants,False
2011,2012,84,ACTOR IN A LEADING ROLE,Jean Dujardin,The Artist,True
2011,2012,84,ACTOR IN A LEADING ROLE,Gary Oldman,Tinker Tailor Soldier Spy,False
2011,2012,84,ACTOR IN A LEADING ROLE,Brad Pitt,Moneyball,False
2011,2012,84,ACTOR IN A SUPPORTING ROLE,Kenneth Branagh,My Week with Marilyn,False
2011,2012,84,ACTOR IN A SUPPORTING ROLE,Jonah Hill,Moneyball,False
2011,2012,84,ACTOR IN A SUPPORTING ROLE,Nick Nolte,Warrior,False
2011,2012,84,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,Beginners,True
2011,2012,84,ACTOR IN A SUPPORTING ROLE,Max von Sydow,Extremely Loud & Incredibly Close,False
2011,2012,84,ACTRESS IN A LEADING ROLE,Glenn Close,Albert Nobbs,False
2011,2012,84,ACTRESS IN A LEADING ROLE,Viola Davis,The Help,False
2011,2012,84,ACTRESS IN A LEADING ROLE,Rooney Mara,The Girl with the Dragon Tattoo,False
2011,2012,84,ACTRESS IN A LEADING ROLE,Meryl Streep,The Iron Lady,True
2011,2012,84,ACTRESS IN A LEADING ROLE,Michelle Williams,My Week with Marilyn,False
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Bérénice Bejo,The Artist,False
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Jessica Chastain,The Help,False
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Melissa McCarthy,Bridesmaids,False
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Janet McTeer,Albert Nobbs,False
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Help,True
2011,2012,84,ANIMATED FEATURE FILM,Alain Gagnol and Jean-Loup Felicioli,A Cat in Paris,False
2011,2012,84,ANIMATED FEATURE FILM,Fernando Trueba and Javier Mariscal,Chico & Rita,False
2011,2012,84,ANIMATED FEATURE FILM,Jennifer Yuh Nelson,Kung Fu Panda 2,False
2011,2012,84,ANIMATED FEATURE FILM,Chris Miller,Puss in Boots,False
2011,2012,84,ANIMATED FEATURE FILM,Gore Verbinski,Rango,True
2011,2012,84,ART DIRECTION,Production Design: Laurence Bennett; Set Decoration: Robert Gould,The Artist,False
2011,2012,84,ART DIRECTION,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan,Harry Potter and the Deathly Hallows Part 2,False
2011,2012,84,ART DIRECTION,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,Hugo,True
2011,2012,84,ART DIRECTION,Production Design: Anne Seibel; Set Decoration: Hélène Dubreuil,Midnight in Paris,False
2011,2012,84,ART DIRECTION,Production Design: Rick Carter; Set Decoration: Lee Sandales,War Horse,False
2011,2012,84,CINEMATOGRAPHY,Guillaume Schiffman,The Artist,False
2011,2012,84,CINEMATOGRAPHY,Jeff Cronenweth,The Girl with the Dragon Tattoo,False
2011,2012,84,CINEMATOGRAPHY,Robert Richardson,Hugo,True
2011,2012,84,CINEMATOGRAPHY,Emmanuel Lubezki,The Tree of Life,False
2011,2012,84,CINEMATOGRAPHY,Janusz Kaminski,War Horse,False
2011,2012,84,COSTUME DESIGN,Lisy Christl,Anonymous,False
2011,2012,84,COSTUME DESIGN,Mark Bridges,The Artist,True
2011,2012,84,COSTUME DESIGN,Sandy Powell,Hugo,False
2011,2012,84,COSTUME DESIGN,Michael O'Connor,Jane Eyre,False
2011,2012,84,COSTUME DESIGN,Arianne Phillips,W.E.,False
2011,2012,84,DIRECTING,Michel Hazanavicius,The Artist,True
2011,2012,84,DIRECTING,Alexander Payne,The Descendants,False
2011,2012,84,DIRECTING,Martin Scorsese,Hugo,False
2011,2012,84,DIRECTING,Woody Allen,Midnight in Paris,False
2011,2012,84,DIRECTING,Terrence Malick,The Tree of Life,False
2011,2012,84,DOCUMENTARY (Feature),Danfung Dennis and Mike Lerner,Hell and Back Again,False
2011,2012,84,DOCUMENTARY (Feature),Marshall Curry and Sam Cullman,If a Tree Falls: A Story of the Earth Liberation Front,False
2011,2012,84,DOCUMENTARY (Feature),Joe Berlinger and Bruce Sinofsky,Paradise Lost 3: Purgatory,False
2011,2012,84,DOCUMENTARY (Feature),Wim Wenders and Gian-Piero Ringel,Pina,False
2011,2012,84,DOCUMENTARY (Feature),"TJ Martin, Dan Lindsay and Rich Middlemas",Undefeated,True
2011,2012,84,DOCUMENTARY (Short Subject),Robin Fryday and Gail Dolgin,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,False
2011,2012,84,DOCUMENTARY (Short Subject),Rebecca Cammisa and Julie Anderson,God Is the Bigger Elvis,False
2011,2012,84,DOCUMENTARY (Short Subject),James Spione,Incident in New Baghdad,False
2011,2012,84,DOCUMENTARY (Short Subject),Daniel Junge and Sharmeen Obaid-Chinoy,Saving Face,True
2011,2012,84,DOCUMENTARY (Short Subject),Lucy Walker and Kira Carstensen,The Tsunami and the Cherry Blossom,False
2011,2012,84,FILM EDITING,Anne-Sophie Bion and Michel Hazanavicius,The Artist,False
2011,2012,84,FILM EDITING,Kevin Tent,The Descendants,False
2011,2012,84,FILM EDITING,Kirk Baxter and Angus Wall,The Girl with the Dragon Tattoo,True
2011,2012,84,FILM EDITING,Thelma Schoonmaker,Hugo,False
2011,2012,84,FILM EDITING,Christopher Tellefsen,Moneyball,False
2011,2012,84,FOREIGN LANGUAGE FILM,Belgium,Bullhead,False
